Connor McDavid Full RAPM Profile (All Metrics):
Season     | Metric                                   | Value    | Rank | Total | Percentile
-------------------------------------------------------------------------------------
20202021   | blocked_shot_to_xg_swing_rapm_5v5_w10    |   0.0970 |    8 |   314 |   97.8%
20202021   | corsi_def_rapm_5v5                       |   0.9845 |    2 |   314 |   99.7%
20202021   | corsi_off_rapm_5v5                       |   1.1479 |    1 |   314 |  100.0%
20202021   | corsi_pk_def_rapm                        |   2.5618 |   30 |   259 |   88.8%
20202021   | corsi_pp_off_rapm                        |   8.0678 |    7 |   259 |   97.7%
20202021   | corsi_rapm_5v5                           |  10.8250 |    5 |   902 |   99.6%
20202021   | faceoff_loss_to_xg_swing_rapm_5v5_w10    |   0.0256 |   72 |   314 |   77.4%
20202021   | finishing_residual_rapm_5v5              |  -1.0217 |  314 |   314 |    0.3%
20202021   | giveaway_to_xg_swing_rapm_5v5_w10        |   0.1074 |    9 |   314 |   97.5%
20202021   | goals_rapm_5v5                           |   0.0691 |   45 |   314 |   86.0%
20202021   | hd_xg_def_rapm_5v5_ge020                 |   0.4321 |    2 |   314 |   99.7%
20202021   | hd_xg_off_rapm_5v5_ge020                 |   0.6375 |    1 |   314 |  100.0%
20202021   | hd_xg_rapm_5v5_ge020                     |   1.0673 |    1 |   314 |  100.0%
20202021   | penalties_drawn_rapm_5v5                 |  -0.0046 |  284 |   314 |    9.9%
20202021   | penalties_taken_rapm_5v5                 |   0.0046 |   31 |   314 |   90.4%
20202021   | primary_assist_rapm_5v5                  |   0.0700 |   38 |   314 |   88.2%
20202021   | secondary_assist_rapm_5v5                |   0.0536 |   58 |   314 |   81.8%
20202021   | takeaway_to_xg_swing_rapm_5v5_w10        |   0.1800 |    1 |   314 |  100.0%
20202021   | turnover_to_xg_swing_rapm_5v5_w10        |   0.2875 |    1 |   314 |  100.0%
20202021   | xg_def_rapm_5v5                          |   0.4715 |    2 |   314 |   99.7%
20202021   | xg_off_rapm_5v5                          |   0.6212 |    1 |   314 |  100.0%
20202021   | xg_pk_def_rapm                           |   0.7786 |   41 |   259 |   84.6%
20202021   | xg_pp_off_rapm                           |   4.7037 |    3 |   259 |   99.2%
20202021   | xg_primary_assist_on_goals_rapm_5v5      |   0.0327 |   61 |   314 |   80.9%
20202021   | xg_rapm_5v5                              |   1.0907 |    1 |   314 |  100.0%
20202021   | xg_secondary_assist_on_goals_rapm_5v5    |   0.0287 |   68 |   314 |   78.7%
20212022   | blocked_shot_to_xg_swing_rapm_5v5_w10    |  -0.0447 |  507 |   550 |    8.0%
20212022   | corsi_def_rapm_5v5                       |   0.4576 |   13 |   550 |   97.8%
20212022   | corsi_off_rapm_5v5                       |   1.0663 |    4 |   550 |   99.5%
20212022   | corsi_pk_def_rapm                        |   0.6847 |   72 |   290 |   75.5%
20212022   | corsi_pp_off_rapm                        |   4.4478 |    9 |   290 |   97.2%
20212022   | corsi_rapm_5v5                           |  10.3881 |   11 |   984 |   99.0%
20212022   | faceoff_loss_to_xg_swing_rapm_5v5_w10    |  -0.0631 |  527 |   550 |    4.4%
20212022   | finishing_residual_rapm_5v5              |  -0.2376 |  529 |   550 |    4.0%
20212022   | giveaway_to_xg_swing_rapm_5v5_w10        |  -0.1886 |  548 |   550 |    0.5%
20212022   | goals_rapm_5v5                           |   0.0553 |   81 |   550 |   85.5%
20212022   | hd_xg_def_rapm_5v5_ge020                 |  -0.1905 |  539 |   550 |    2.2%
20212022   | hd_xg_off_rapm_5v5_ge020                 |   0.4681 |    3 |   550 |   99.6%
20212022   | hd_xg_rapm_5v5_ge020                     |   0.2562 |   18 |   550 |   96.9%
20212022   | penalties_drawn_rapm_5v5                 |  -0.0000 |    1 |   550 |   50.1%
20212022   | penalties_taken_rapm_5v5                 |   0.0000 |    1 |   550 |   50.1%
20212022   | primary_assist_rapm_5v5                  |   0.0601 |   76 |   550 |   86.4%
20212022   | secondary_assist_rapm_5v5                |  -0.0219 |  389 |   550 |   29.5%
20212022   | takeaway_to_xg_swing_rapm_5v5_w10        |  -0.0406 |  514 |   550 |    6.7%
20212022   | turnover_to_xg_swing_rapm_5v5_w10        |  -0.2291 |  548 |   550 |    0.5%
20212022   | xg_def_rapm_5v5                          |  -0.1501 |  533 |   550 |    3.3%
20212022   | xg_off_rapm_5v5                          |   0.4634 |    2 |   550 |   99.8%
20212022   | xg_pk_def_rapm                           |   0.2364 |   79 |   290 |   73.1%
20212022   | xg_pp_off_rapm                           |   0.8821 |   28 |   290 |   90.7%
20212022   | xg_primary_assist_on_goals_rapm_5v5      |   0.0546 |   21 |   550 |   96.4%
20212022   | xg_rapm_5v5                              |   0.2928 |   16 |   550 |   97.3%
20212022   | xg_secondary_assist_on_goals_rapm_5v5    |   0.0005 |  252 |   550 |   54.4%
20222023   | blocked_shot_to_xg_swing_rapm_5v5_w10    |   0.0318 |   87 |   563 |   84.7%
20222023   | corsi_def_rapm_5v5                       |  -1.8668 |  496 |   563 |   12.1%
20222023   | corsi_off_rapm_5v5                       |   4.2116 |    9 |   563 |   98.6%
20222023   | corsi_pk_def_rapm                        |   3.5706 |   18 |   347 |   95.1%
20222023   | corsi_pp_off_rapm                        |   1.9351 |   43 |   347 |   87.9%
20222023   | corsi_rapm_5v5                           |   5.6080 |   90 |   940 |   90.5%
20222023   | faceoff_loss_to_xg_swing_rapm_5v5_w10    |  -0.0518 |  522 |   563 |    7.5%
20222023   | finishing_residual_rapm_5v5              |  -0.9025 |  480 |   563 |   14.9%
20222023   | giveaway_to_xg_swing_rapm_5v5_w10        |  -0.0334 |  505 |   563 |   10.5%
20222023   | goals_rapm_5v5                           |  -0.0972 |  536 |   563 |    5.0%
20222023   | hd_xg_def_rapm_5v5_ge020                 |  -1.0955 |  531 |   563 |    5.9%
20222023   | hd_xg_off_rapm_5v5_ge020                 |   1.7157 |    6 |   563 |   99.1%
20222023   | hd_xg_rapm_5v5_ge020                     |   0.4939 |  145 |   563 |   74.4%
20222023   | penalties_drawn_rapm_5v5                 |   0.0237 |   12 |   563 |   98.0%
20222023   | penalties_taken_rapm_5v5                 |  -0.0237 |  552 |   563 |    2.1%
20222023   | primary_assist_rapm_5v5                  |  -0.1015 |  541 |   563 |    4.1%
20222023   | secondary_assist_rapm_5v5                |  -0.0470 |  509 |   563 |    9.8%
20222023   | takeaway_to_xg_swing_rapm_5v5_w10        |   0.0344 |   59 |   563 |   89.7%
20222023   | turnover_to_xg_swing_rapm_5v5_w10        |   0.0010 |  279 |   563 |   50.6%
20222023   | xg_def_rapm_5v5                          |  -1.0485 |  525 |   563 |    6.9%
20222023   | xg_off_rapm_5v5                          |   1.8374 |    6 |   563 |   99.1%
20222023   | xg_pk_def_rapm                           |   1.7978 |   17 |   347 |   95.4%
20222023   | xg_pp_off_rapm                           |   2.6103 |   12 |   347 |   96.8%
20222023   | xg_primary_assist_on_goals_rapm_5v5      |  -0.0854 |  553 |   563 |    2.0%
20222023   | xg_rapm_5v5                              |   0.6565 |  119 |   563 |   79.0%
20222023   | xg_secondary_assist_on_goals_rapm_5v5    |  -0.0573 |  539 |   563 |    4.4%
20232024   | blocked_shot_to_xg_swing_rapm_5v5_w10    |   0.1716 |    1 |   508 |  100.0%
20232024   | corsi_def_rapm_5v5                       |   1.6834 |   64 |   508 |   87.6%
20232024   | corsi_off_rapm_5v5                       |   3.0276 |   26 |   508 |   95.1%
20232024   | corsi_pk_def_rapm                        |   4.7647 |   10 |   303 |   97.0%
20232024   | corsi_pp_off_rapm                        |   2.7033 |   25 |   303 |   92.1%
20232024   | corsi_rapm_5v5                           |   7.4513 |   54 |   909 |   94.2%
20232024   | faceoff_loss_to_xg_swing_rapm_5v5_w10    |  -0.0040 |  300 |   508 |   41.1%
20232024   | finishing_residual_rapm_5v5              |  -0.3164 |  338 |   508 |   33.7%
20232024   | giveaway_to_xg_swing_rapm_5v5_w10        |   0.0032 |  193 |   508 |   62.2%
20232024   | goals_rapm_5v5                           |   0.0995 |   27 |   508 |   94.9%
20232024   | hd_xg_def_rapm_5v5_ge020                 |   0.1349 |   25 |   508 |   95.3%
20232024   | hd_xg_off_rapm_5v5_ge020                 |   0.3711 |    8 |   508 |   98.6%
20232024   | hd_xg_rapm_5v5_ge020                     |   0.5136 |    7 |   508 |   98.8%
20232024   | penalties_drawn_rapm_5v5                 |  -0.0008 |  430 |   508 |   15.6%
20232024   | penalties_taken_rapm_5v5                 |   0.0008 |   79 |   508 |   84.6%
